날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2021-03-30,0,0,0,0,0,0,48000,921600,1824000,2294400,7257600,9763200,10272000,10243200,9772800,8236800,5731200,2649600,355200,0,0,0,0,0
2021-03-31,0,0,0,0,0,0,96000,1363200,4329600,7411200,9168000,9571200,10243200,9955200,8726400,6969600,4857600,1564800,201600,0,0,0,0,0
2021-04-01,0,0,0,0,0,0,76800,700800,1987200,4521600,5424000,5347200,3206400,2668800,2544000,2284800,1363200,508800,96000,0,0,0,0,0
2021-04-02,0,0,0,0,0,0,48000,710400,3801600,4531200,7939200,5990400,7507200,5980800,4982400,3283200,2524800,1046400,96000,0,0,0,0,0
2021-04-03,0,0,0,0,0,0,67200,844800,806400,1353600,1507200,1036800,864000,691200,700800,249600,326400,124800,0,0,0,0,0,0
2021-04-04,0,0,0,0,0,0,0,153600,816000,854400,1113600,1046400,1843200,1843200,1660800,1161600,1478400,720000,19200,0,0,0,0,0
2021-04-05,0,0,0,0,0,0,134400,1881600,5059200,7920000,9868800,10992000,11385600,11097600,10262400,8515200,5913600,2784000,412800,0,0,0,0,0
2021-04-06,0,0,0,0,0,0,9600,528000,2044800,5692800,8620800,10790400,11577600,11241600,10243200,8515200,5923200,2774400,422400,0,0,0,0,0
2021-04-07,0,0,0,0,0,0,182400,1920000,4838400,7564800,9571200,10713600,11184000,11107200,10185600,8236800,5644800,2572800,422400,0,0,0,0,0
2021-04-08,0,0,0,0,0,0,134400,1593600,4320000,7622400,9254400,10617600,11596800,11443200,10396800,8572800,6019200,2899200,460800,0,0,0,0,0
2021-04-09,0,0,0,0,0,0,307200,1776000,4406400,6633600,9312000,10070400,10800000,10588800,9782400,7891200,5452800,2572800,460800,0,0,0,0,0
2021-04-10,0,0,0,0,0,0,278400,1929600,4665600,6508800,7632000,8899200,10233600,10022400,8956800,7680000,5299200,2467200,451200,0,0,0,0,0
2021-04-11,0,0,0,0,0,0,278400,1708800,4838400,7401600,9312000,10464000,10896000,10598400,9782400,8044800,5395200,2419200,470400,0,0,0,0,0
2021-04-12,0,0,0,0,0,0,211200,624000,835200,1728000,1526400,1132800,585600,480000,528000,729600,576000,96000,0,0,0,0,0,0
2021-04-13,0,0,0,0,0,0,0,172800,633600,2784000,6028800,5020800,4262400,4147200,3532800,3619200,3513600,3072000,614400,0,0,0,0,0
2021-04-14,0,0,0,0,0,0,211200,2054400,4944000,7833600,10531200,11731200,12153600,11769600,10752000,8937600,6307200,3062400,518400,0,0,0,0,0
2021-04-15,0,0,0,0,0,0,374400,2217600,5088000,6556800,9667200,9388800,8006400,7824000,6844800,6604800,5884800,2985600,518400,0,0,0,0,0
